id,ndex,species,forme,dex1,dex2,type1_id,type2_id,ability1_id,ability2_id,hidden_ability_id,hp,attack,defense,spattack,spdefense,speed,total,weight,height,class,percent_male,percent_female,egg_group1,egg_group2,image_url
1,1,Bulbasaur,Bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy.",5,8,65,,34,45,49,49,65,65,45,318,15.2,2.0,Seed Pokémon,0.875,0.125,Monster,Grass,001.png
2,2,Ivysaur,Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.,5,8,65,,34,60,62,63,80,80,60,405,28.7,3.0,Seed Pokémon,0.875,0.125,Monster,Grass,002.png
3,3,Venusaur,Venusaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.,5,8,65,,34,80,82,83,100,100,80,525,220.5,6.0,Seed Pokémon,0.875,0.125,Monster,Grass,003.png
4,4,Charmander,Charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.,2,,66,,94,39,52,43,60,50,65,309,18.7,2.0,Lizard Pokémon,0.875,0.125,Monster,Dragon,004.png
5,5,Charmeleon,Charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels.","Tough fights could excite this POKéMON. When excited, it may blow out bluish-white flames.",2,,66,,94,58,64,58,80,65,80,405,41.9,3.0,Flame Pokémon,0.875,0.125,Monster,Dragon,005.png
6,6,Charizard,Charizard,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,"When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely.",2,10,66,,94,78,84,78,109,85,100,534,199.5,5.0,Flame Pokémon,0.875,0.125,Monster,Dragon,006.png
7,7,Squirtle,Squirtle,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",Shoots water at prey while in the water. Withdraws into its shell when in danger.,3,,67,,44,44,48,65,50,64,43,314,19.8,1.0,Tiny Turtle Pokémon,0.875,0.125,Monster,Water 1,007.png
8,8,Wartortle,Wartortle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.","When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit.",3,,67,,44,59,63,80,65,80,58,405,49.6,3.0,Turtle Pokémon,0.875,0.125,Monster,Water 1,008.png
9,9,Blastoise,Blastoise,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,"Once it takes aim at its enemy, it blasts out water with even more force than a fire hose.",3,,67,,44,79,83,100,85,105,78,530,188.5,5.0,Shellfish Pokémon,0.875,0.125,Monster,Water 1,009.png
10,10,Caterpie,Caterpie,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.","It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers.",12,,19,,50,45,30,35,20,20,45,195,6.4,1.0,Worm Pokémon,0.5,0.5,Bug,,010.png
